supplier,supplier_clean,diff
Circuito Renovado - Produções Lda,circuito renovado - produções,0.26
Circular 1 Health Limited,circular 1 health ltd,0.33
Circular 1 Health Ltd,circular 1 health ltd,0.91
"ООО ""ЦИРКУЛЯР""",cirkulяr,0.41
"Cisec - Soluções Técnicas de Engenharia e Serviços, S.A",cisec - soluções técnicas de engenharia e serviços,0.14
"Cisterlimpa - Higiene E Limpeza, Lda",cisterlimpa - higiene e limpeza,0.32
"ООО ""ЦИТАДЕЛЬ-ТРЕЙД""",citadelь-treйd,0.31
"ООО ""ЦИТОМЕД""",citomed,0.48
"Citomed - Equipamentos e Reagentes Para Laboratório, Lda",citomed,0.24
"ООО ""ЦИТОЭМЕД""",citomed,0.24
Citymover Lda,citymover,0.59
Cityrobot - Confecções Lda,cityrobot - confecções,0.32
CJ Trade,cj trade,0.20
CJ trade,cj trade,1.00
Cjg-Construções Lda,cjg-construções,0.43
Claim Stil SRL,claim stil,0.24
Clamix - Comércio de Vestuário Lda,clamix - comércio de vestuário,0.40
Clandeboye Agencies Ltd,clandeboye agencies ltd,0.34
"Clara Saúde, Lda",clara saúde,0.29
"Claranet II Solutions, S.A",claranet ii solutions,0.44
"Claranet Portugal, S.A",claranet portugal,0.58
Clavaro,clavaro,0.42
"Claúdia Barroso, Unipessoal Lda","claúdia barroso, unipessoal",0.35
"Clean & Clean, Lda",clean & clean,0.25
"Clean Check - Consultadoria e Equipamentos de Limpeza, Unipe...","clean check - consultadoria e equipamentos de limpeza, unipe",0.25
"Clean Concept, Lda",clean concept,0.33
Clean cut service,clean cut service,0.60
CleanAgent Mehlfeld+Göring GmbH,cleanagent mehlfeld+göring,0.42
Cleaning Logistic Distribution,cleaning logistic distribution,0.29
"Cleaningsynergy Portugal, Lda",cleaningsynergy portugal,0.37
"Cleanity, S. L.",cleanity,0.44
Cleansec Services e.U.,cleansec services e.u,0.41
Cleansing Service Group Ltd,cleansing service group ltd,0.67
"Cleansolve - Limpeza e Conservação, Lda",cleansolve - limpeza e conservação,0.39
ClearMask LLC,clearmask llc,0.34
Clearwater Hygiene Ltd,clearwater hygiene ltd,0.46
"Clece, S.A",clece,0.30
Clegg's Chilled Food Service,cleggs chilled food service,0.31
Clic Media Grup SRL,clic media grup,0.24
"Click Gest - Informatica E Consultoria Em Gestão, Lda",click gest - informatica e consultoria em gestão,0.32
Click on Logistics Ltd,click on logistics ltd,0.37
Climacom-Assistencia Tecnica de Climatização Lda,climacom-assistencia tecnica de climatização,0.36
"Climaconforto - Aquecimento, Desumidificação e Climatização...","climaconforto - aquecimento, desumidificação e climatização",0.58
Climar - Indústria de Iluminação SA,climar - indústria de iluminação,0.48
Climastore Lda,climastore,0.38
Climave - Equipamentos Electromecanicos Lda,climave - equipamentos electromecanicos,0.33
Climex - Controlo de Ambiente S.A,climex - controlo de ambiente,0.38
Climábitus - Manutenção e Climatização Lda,climábitus - manutenção e climatização,0.33
Clini-Lab srl,clini-lab,0.26
Clinilab S.r.l.,clini-lab,1.00
"Clinica de Recuperação - M. H. Vila Viçosa, Limitada","clinica de recuperação - m. h. vila viçosa, limitada",0.26
Clinifar - Produtos Clínicos e Farmaceuticos S.A,clinifar - produtos clínicos e farmaceuticos,0.35
Cliniques universitaires Saint-Luc UCL Bruxelles ASBL,cliniques universitaires saint-luc ucl bruxelles asbl,0.27
CLINITEX s.r.o.,clinitex,0.26
CLINITEX ZPS s.r.o.,clinitex zps,0.80
Clonallon Laboratories,clonallon laboratories,0.29
Clorofil concept,clorofil concept,0.37
"Clorosol - Comércio e Indústria de Detergentes, Limitada","clorosol - comércio e indústria de detergentes, limitada",0.33
Closer - Consultoria Lda,closer - consultoria,0.39
Clothe-Up Desenvolvimento Textil Unipessoal Lda,clothe-up desenvolvimento textil unipessoal,0.35
Cloudflare Inc,cloudflare inc,0.25
"Clsbrands, Lda",clsbrands,0.35
Clínica Laboratorial dos Arcos de Valdevez Lda,clínica laboratorial dos arcos de valdevez,0.27
Clínica Médica do Vale de Besteiros Lda,clínica médica do vale de besteiros,0.52
"ООО ""ЦМБ""",cmb,0.16
"Cmp - Construções Modelares Pré-Fabricadas, Lda",cmp - construções modelares pré-fabricadas,0.13
"ООО ЦМС ""НАУКОГРАД КОЛЬЦОВО""",cms naukograd kolьcovo,0.25
CMT EQUIPMENT LIMITED,cmt equipment limited,0.28
CMT Group,cmt group,0.40
CMT Group Ltd,cmt group ltd,0.82
"ООО ""ЦМТ-СЕРВИС""",cmt-servis,0.35
Cnm-Consumiveis de Informatica Lda,cnm-consumiveis de informatica,0.35
CO medizell GmbH,co medizell,0.24
Co-operations Consulting (HK) Ltd,co-operations consulting (hk) ltd,0.27
Coatex,coatex,0.21
"Cobersun, Lda",cobersun,0.43
CobiNet Fernmelde- und Datennetzkomponenten GmbH,cobinet fernmelde- und datennetzkomponenten,0.27
Codaltex - Fabrico de Confecções Lda,codaltex - fabrico de confecções,0.29
Codan 11 - Venda e Distribuição de Instrumentos Médicos e Ac...,codan 11 - venda e distribuição de instrumentos médicos e ac,0.39
Codan srl e GAP srl,codan srl e gap,0.27
"Codiprof, Lda",codiprof,0.35
"Cofina Media, S.A",cofina media,0.40
Cofina SGPS S.A,cofina sgps,0.61
Cofini Intermed SRL,cofini intermed,0.46
"Cofistrong-Engenharia, Unipessoal Lda","cofistrong-engenharia, unipessoal",0.29
"Cofralusa - Materiais de Construção, Unipessoal Lda","cofralusa - materiais de construção, unipessoal",0.50
"Cog - Embalagens E Plasticos, Lda",cog - embalagens e plasticos,0.21
Cogent Technology Ltd,cogent technology ltd,0.33
"Cognusfar, Unipessoal Lda","cognusfar, unipessoal",0.38
Coimbra Aparthotel S.A,coimbra aparthotel,0.31
Coimbra e Filhos Lda,coimbra e filhos,0.59
"Coimtronica, Unipessoal Lda","coimtronica, unipessoal",0.36
"Coingra - Companhia Gráfica Dos Açores, Lda",coingra - companhia gráfica dos açores,0.33
Cojocari Grup SRL,cojocari grup,0.31
Colatex,colatex,0.30
"Colheventos - Gestão e Serviços, Lda",colheventos - gestão e serviços,0.21
Colis-Comercio de Colchões do Lis Lda,colis-comercio de colchões do lis,0.34
"Collab - Soluções Informáticas de Comunicação e Colaboração,...",collab - soluções informáticas de comunicação e colaboração,0.39
"Coloplast II Portugal, Unipessoal Lda","coloplast ii portugal, unipessoal",0.41
"Colorprime, Lda",colorprime,0.33
Colportada Comércio e Corte de Madeiras Lda,colportada comércio e corte de madeiras,0.29
Colquímica - Indústria Nacional de Colas S.A,colquímica - indústria nacional de colas,0.38
Colunex Portuguesa - Indústria e Distribuição de Sistemas de...,colunex portuguesa - indústria e distribuição de sistemas de,0.52
Colussi Icos,colussi icos,0.22
"COMABASST INDUSTRY DEVELOPMENT CO.,LIMITED","comabasst industry development co.,limited",0.30
"Comamed Anna Polarczyk ul. Górska 1a, 43-300 Bielsko-Biała","comamed anna polarczyk ul. górska 1a, 43-300 bielsko-biała",0.14
Comansegur - Segurança Privada S.A,comansegur - segurança privada,0.34
Comaplex SAS,comaplex sas,0.38
Comax UK Ltd,comax uk ltd,0.50
"COMBIC Podjetje za inženiring, zastopanje in trgovino d.o.o. Podnanos","combic podjetje za inženiring, zastopanje in trgovino d.o.o. podnanos",0.12
COMDES CZ s.r.o.,comdes cz,0.18
Comeal-Comércio de Equipamentos Industriais Lda,comeal-comércio de equipamentos industriais,0.27
"Comecont - Comércio e Reparação de Contentores, Ldª","comecont - comércio e reparação de contentores, ldª",0.49
Comercial Carmen Calahorra S.C.,comercial carmen calahorra s.c,0.37
COMERCIAL DENTAL MJRJ SL,comercial dental mjrj,0.59
"Comercial Extremeña Hospitalaria, S. L.",comercial extremeña hospitalaria,0.57
COMERCIAL HIDALGO ALONSO SL,comercial hidalgo alonso,0.54
"Comercial Médica Remex, S. L.",comercial médica remex,0.57
"Comercial Química Massó, S. A.",comercial química massó,0.71
Comercial Rafer S. L. (Sucursal Em Portugal),comercial rafer s. l. (sucursal em portugal),0.42
COMERCIAL RUBIO HIDALGO SA,comercial rubio hidalgo,0.45
Comfersa-Comercio de Ferramentas de Azemeis Lda,comfersa-comercio de ferramentas de azemeis,0.33
Comfort And Innovations - Comércio Textil Lda,comfort and innovations - comércio textil,0.43
"Comité Textil, S. L.",comité textil,0.48
"Comité Téxtil, S. L.",comité textil,1.00
Commercial Ltd,commercial ltd,0.44
CommuniCare Medical SUPPLIES Ltd,communicare medical supplies ltd,0.48
"COMPA IA DENTAL DE VENTA DIRECTA, S.A. - SUCURSAL EM PORTUGA...","compa ia dental de venta directa, s.a. - sucursal em portuga",0.30
COMPANIA NATIONALA UNIFARM,compania nationala unifarm,0.40
Compania Națională Unifarm,compania națională unifarm,0.92
Compass Contract Services (UK) Ltd,compass contract services (uk) ltd,0.30
Compatíveloferta Unipessoal Lda,compatíveloferta unipessoal,0.39
"Compracá I - Supermercados de Proximidade, S.A",compracá i - supermercados de proximidade,0.32
comprei Reinraum-Handel und Schulungs GesmbH.,comprei reinraum-handel und schulungs gesmbh,0.38
"Compta - Infra-Estruturas e Segurança, S.A",compta - infra-estruturas e segurança,0.30
"Computadores Navarra, S.A.",computadores navarra,0.39
ComStern,comstern,0.36
Comunidade Intermunicipal do Alto Alentejo,comunidade intermunicipal do alto alentejo,0.28
concepcion SEIDEL OHG,concepcion seidel ohg,0.29
"Concept Fardas, Lda",concept fardas,0.46
CONCESSUS - Sociedade de Apetrechamento Técnico e Científico...,concessus - sociedade de apetrechamento técnico e científico,0.22
Condiprestige - Vestuário Técnico e Brindes Publicitários Ld...,condiprestige - vestuário técnico e brindes publicitários ld,0.47
CONELTEX S.R.L.,coneltex,0.18
"CONEX - TRADE, spol. s r.o. Košice","conex - trade, spol. s r.o. košice",0.24
Conexus Healthcare Ltd,conexus healthcare ltd,0.29
"Confecciones Ascival, S. L.",confecciones ascival,0.38
"Confecciones Oroel, S. A.",confecciones oroel,0.74
Confectiebedrijf Celesta,confectiebedrijf celesta,0.52
Confectiebedrijf Celesta NV,confectiebedrijf celesta nv,0.94
CONFECTII VASLUI S.A.,confectii vaslui,0.51
Confecções Giliana S.A,confecções giliana,0.47
Confecções Manuela & Pereira Lda,confecções manuela & pereira,0.61
"Confecções Valverde de Maria Manuela Pinheiro, Lda",confecções valverde de maria manuela pinheiro,0.63
"Confetil, S.A",confetil,0.26
Confezoni Andreea MDV SRL,confezoni andreea mdv,0.41
Confiauto-Indústria e Comércio de Automóveis S.A,confiauto-indústria e comércio de automóveis,0.43
"Configbit - Soluções Tecnológicas, Lda",configbit - soluções tecnológicas,0.26
"CONFIRMA TUDO, Unipessoal LDA","confirma tudo, unipessoal",0.34
"Conforlife, Lda",conforlife,0.34
Conforma NV,conforma nv,0.57
Conimex Oy,conimex oy,0.48
"Conmed družba za zastopanje, trgovino in storitve, d.o.o.","conmed družba za zastopanje, trgovino in storitve",0.24
"Connect International, Marketing e Comunicação Lda","connect international, marketing e comunicação",0.23
"Connectisuc Unified Communications, Unipessoal Lda","connectisuc unified communications, unipessoal",0.46
connex Warenhandel GmbH & Co. KG,connex warenhandel gmbh & co. kg,0.31
Conquistagadget Lda,conquistagadget,0.26
Conran and Partners Ltd.,conran and partners ltd,0.37
Conseil régional Provence-Alpes-Côte d'Azur,conseil régional provence-alpes-côte dazur,0.37
Consorzio piemontese per la prevenzione e la repressione del doping e di altri usi illeciti dei farmaci,consorzio piemontese per la prevenzione e la repressione del doping e di altri usi illeciti dei farmaci,0.34
Construções Borges & Cantante Lda,construções borges & cantante,0.15
Construções Durão S.A,construções durão,0.57
"Construções Eliseu Lopes, Lda",construções eliseu lopes,0.68
"Construções Gmtp, Unipessoal Lda","construções gmtp, unipessoal",0.62
"Consumindu, Lda",consumindu,0.37
"Conteúdos Globais, Lda",conteúdos globais,0.30
"Contimilímetro - Consultoria Em Telecomunicações, Lda",contimilímetro - consultoria em telecomunicações,0.18
"Continente Hipermercados, S.A",continente hipermercados,0.36
Continuum,continuum,0.42
Contrast Ernst & Young,contrast ernst & young,0.39
"CONTROLTECNICA I.C., S.L.",controltecnica i.c,0.35
"Controlvet - Segurança Alimentar, S.A",controlvet - segurança alimentar,0.48
Convenient Season Lda,convenient season,0.45
Conversairosa Unipessoal Lda,conversairosa unipessoal,0.54
Convívio Com Arte - Unipessoal Lda,convívio com arte - unipessoal,0.67
Conzept Outfits,conzept outfits,0.27
COOK ESPAÑA SA,cook españa,0.31
"Cool Set - Fábrica dos Cenários, Lda",cool set - fábrica dos cenários,0.29
"Coopeniche - Cooperativa Agrícola de Peniche, Crl","coopeniche - cooperativa agrícola de peniche, crl",0.38
Cooperativa Agricola de Coimbra Crl,cooperativa agricola de coimbra crl,0.67
Cooperativa Agricola de Vila Nova de Cerveira Crl,cooperativa agricola de vila nova de cerveira crl,0.74
Cooperativa Agricola dos Agricultores de Vieira do Minho Crl,cooperativa agricola dos agricultores de vieira do minho crl,0.68
Cooperativa Agrícola de Alcobaça Crl,cooperativa agrícola de alcobaça crl,0.60
"Cooperativa De Rádio Táxis Linha De Sintra, Crl","cooperativa de rádio táxis linha de sintra, crl",0.60
Cooperativa Editorial Caldense Crl,cooperativa editorial caldense crl,0.64
COOPERATIVA FARMACEUTICA ASTURIANA,cooperativa farmaceutica asturiana,0.53
Cooprofar-Cooperativa dos Proprietarios de Farmacia Crl,cooprofar-cooperativa dos proprietarios de farmacia crl,0.45
COPAC A/S,copac a/s,0.19
COPAG consorzio dell'ospedalità privata per gli acquisti e le gestioni SpA/Consorzio Ge.Se.Av. scarl,copag consorzio dellospedalità privata per gli acquisti e le gestioni spa/consorzio ge.se.av. scarl,0.15
Copeland Spirits Ltd,copeland spirits ltd,0.22
"COPIA BIRO, prodaja, servis, fotokopiranje d.o.o.","copia biro, prodaja, servis, fotokopiranje",0.32
Copialta - Representações Lda,copialta - representações,0.39
"Copidata, S.A",copidata,0.42
"Coprel - Comércio, Distribuição e Serviços Energéticos, Lda...","coprel - comércio, distribuição e serviços energéticos",0.19
CopyCat AS,copycat,0.16
"Cor e Musica, Lda",cor e musica,0.42
Coral 33 All Prod S.R.L.,coral 33 all prod,0.28
Coral Dual CM,coral dual cm,0.60
Coral Impex S.R.L.,coral impex,0.58
"Cordeiro, Ramos & Romão, Lda","cordeiro, ramos & romão",0.24
"Cordiamado, Unipessoal Lda","cordiamado, unipessoal",0.44
Cordivia,cordivia,0.47
CORE Industries GmbH,core industries,0.43
Core Protection Systems Ltd,core protection systems ltd,0.52
CoreMrx,coremrx,0.29
Coresàsolta - Unipessoal Lda,coresàsolta - unipessoal,0.26
Corklife - Confeção e Comércio de Acessórios de Moda Lda,corklife - confeção e comércio de acessórios de moda,0.37
Corpowear OÜ,corpowear oü,0.28
Correia & Cardoso Lda,correia & cardoso,0.48
Correia & Irmãos Lda,correia & irmãos,0.79
"Correia & Silva, Lda",correia & silva,0.71
Correia Rosa Lda,correia rosa,0.74
"Corsar, Equipamentos e Produtos Industriais Lda","corsar, equipamentos e produtos industriais",0.18
"Cortartec - Construção Civil e Importação e Exportação, Lda...",cortartec - construção civil e importação e exportação,0.31
Cortiçol-Cooperativa de Informação e Cultura Crl,cortiçol-cooperativa de informação e cultura crl,0.49
Cosmira GmbH,cosmira,0.18
"Cosmocentauro, Unipessoal Lda","cosmocentauro, unipessoal",0.31
Costa & Costa - Topografia e Informática Lda,costa & costa - topografia e informática,0.25
"Costa & Cruz, Unipessoal, Lda","costa & cruz, unipessoal",0.44
"Costa Pereira & Oliveira, Lda",costa pereira & oliveira,0.42
"Costa Veríssimo - Soluções Empresariais, Unipessoal Lda","costa veríssimo - soluções empresariais, unipessoal",0.27
Costafil - Industria e Comercio de Vestuario Lda,costafil - industria e comercio de vestuario,0.40
Cote Textile,cote textile,0.25
"Coutita - Confecções, Lda",coutita - confecções,0.31
Covalquizur Unipessoal Lda,covalquizur unipessoal,0.33
Covanito Lda,covanito,0.47
Цой Надежда Юрьевна,coй nadežda юrьevna,0.22
CPL,cpl,0.09
"Cr 20 Produção de Eventos, Sociedade Unipessoal Lda","cr 20 produção de eventos, sociedade unipessoal",0.12
"ООО ""ЦРА""",cra,0.12
ЦРА № 58,cra № 58,0.55
"ООО ""ЦРА №433""",cra №433,0.63
Crayon AS,crayon,0.43
Crayon Software Experts Spain S.L.,crayon software experts spain,0.34
Creative Activity,creative activity,0.35
Creative Tools s.r.o.,creative tools,0.65
CREATIVE-COMPANY s.r.o.,creative-company,0.60
Creativeland s.r.o.,creativeland,0.71
"Credibilidade Total - Consultoria, Lda",credibilidade total - consultoria,0.18
"Crespo y Villegas, S. L.",crespo y villegas,0.28
Criacrilicos - Indústria Mobiliário e Decoração Lda,criacrilicos - indústria mobiliário e decoração,0.16
CRINUL S.R.L,crinul,0.19
CRIO – 2 S.R.L.,crio – 2,0.43
CRIS CONSTANT SRL,cris constant,0.38
CRISEDY PRODCOM SRL,crisedy prodcom,0.50
Crisp Websites Ltd TA Pestfix,crisp websites ltd ta pestfix,0.36
Cristaleria Ciordia S.L.,cristaleria ciordia,0.33
Cristanini SpA,cristanini spa,0.55
CRISTEA GHE. GHEORGHE PERSOANA FIZICA AUTORIZATA,cristea ghe. gheorghe persoana fizica autorizata,0.26
Critical Healthcare Ltd,critical healthcare ltd,0.34
Critical Software S.A,critical software,0.65
Critério Curioso - Lda,critério curioso -,0.46
Critério de Escolha - Lda,critério de escolha -,0.67
"ООО ""ЦРМ""",crm,0.17
Croix-rouge luxembourgeoise,croix-rouge luxembourgeoise,0.20
Cromatec Plus,cromatec plus,0.40
"Cross Continental, gradbeništvo, d.o.o.","cross continental, gradbeništvo",0.18
CRS Clean Room Solutions GmbH,crs clean room solutions,0.33
Crucialinstante Comércio de Equipamentos Pré-Hospitalares Un...,crucialinstante comércio de equipamentos pré-hospitalares un,0.14
Cruz Vermelha Portuguesa,cruz vermelha portuguesa,0.31
"Cruzlab - Laboratory Solutions, Unipessoal Lda","cruzlab - laboratory solutions, unipessoal",0.45
Cryseia - Animação Turística e Organização de Eventos Lda...,cryseia - animação turística e organização de eventos,0.21
"CS21 Group, spol. s r.o.","cs21 group, spol. s r.o",0.18
"Cs4B - Consulting And Solutions For Business, Lda",cs4b - consulting and solutions for business,0.36
CSE – Clean Solution GmbH,cse – clean solution,0.53
Csh - Comércio Serviço Higiene Lda,csh - comércio serviço higiene,0.36
"ООО ""ЦСК""",csk,0.12
"Csl Behring, Unipessoal Lda","csl behring, unipessoal",0.15
"Cspsaude - Centro de Serviços Partilhados, S.A",cspsaude - centro de serviços partilhados,0.19
"ООО ЦСУ ""МЕДТЕХНИКА""",csu medtehnika,0.33
"CTEL - Companhia De Tecnologias de Empresa, Unipessoal, Lda","ctel - companhia de tecnologias de empresa, unipessoal",0.21
"ООО ""ЦТО""",cto,0.11
Ctt - Correios de Portugal S.A,ctt - correios de portugal,0.21
"Ctt Contacto, S.A",ctt contacto,0.42
Ctt Expresso - Serviços Postais e Logística S.A,ctt expresso - serviços postais e logística,0.29
"Cualtis, S. L. U.","cualtis, s. l. u",0.17
"Cube Labs, Lda",cube labs,0.32
"Cubo Crescente, Lda",cubo crescente,0.43
"CUBO Investments, s.r.o.",cubo investments,0.67
"Cuf, S.A",cuf,0.21
"Culto da Imagem - Produções e Soluções, Lda",culto da imagem - produções e soluções,0.10
Cunha Leão - Design e Publicidade Lda,cunha leão - design e publicidade,0.45
"Cupan, Brindes e Artes Gráficas Lda","cupan, brindes e artes gráficas",0.41
Curiosa Tradição - Lda,curiosa tradição -,0.37
Curião Materiais de Construção Lda,curião materiais de construção,0.29
Цурка Валерий,curka valeriй,0.33
Custódio Cardoso Cabido & Filhos Lda,custódio cardoso cabido & filhos,0.13
Cutelaria Polycarpo Lda,cutelaria polycarpo,0.35
Cuttlefish Ltd,cuttlefish ltd,0.42
"Cv Baleiras, Comunicação, Lda","cv baleiras, comunicação",0.32
CV Pack,cv pack,0.32
Cva Electronica-Fabrica de Equipamento de Som e Luz Lda,cva electronica-fabrica de equipamento de som e luz,0.17
Цветкова Кристина Николаевна,cvetkova kristina nikolaevna,0.28
CW Audit Services,cw audit services,0.27
CY,cy,0.11
Cygnet Health Care Ltd,cygnet health care ltd,0.17
Czech & Slovak Technologies s.r.o.,czech & slovak technologies,0.29
Czech Deposit s.r.o.,czech deposit,0.45
Cálculocélula Unipessoal Lda,cálculocélula unipessoal,0.22
"Céu Aberto - Decoração de Interiores, Lda",céu aberto - decoração de interiores,0.23
Círculo de Leitores S.A,círculo de leitores,0.51
"Código 912 - Comunicação e Imagem, Lda",código 912 - comunicação e imagem,0.27
Códigopioneiro - Lda,códigopioneiro -,0.37
Códigos Improváveis - Unipessoal Lda,códigos improváveis - unipessoal,0.46
"Códigos Opostos - Sistemas de Energia, Lda",códigos opostos - sistemas de energia,0.46
Цыганкова Юлия Александровна,cыgankova юliя aleksandrovna,0.15
ЦІВА СВІТЛАНА АНАТОЛІЇВНА,cіva svіtlana anatolіїvna,0.42
"D G-Representações, Unipessoal Lda","d g-representações, unipessoal",0.18
"ООО ""Д-МЕДФАРМ""",d-medfarm,0.21
D. L. A. - Farmacêutica S.A,d. l. a. - farmacêutica,0.38
"D. O. Farmácia de Catarruchos, Unipessoal Lda","d. o. farmácia de catarruchos, unipessoal",0.41
D. O. O. DEZINSEKCIJA,d. o. o. dezinsekcija,0.39
"D.c.s. - Desenvolvimento E Comercialização De Software, Lda",d.c.s. - desenvolvimento e comercialização de software,0.32
D.K.T. - Representações Lda,d.k.t. - representações,0.42
D.S.T.-Desinfecções Sul Tejo Lda,d.s.t.-desinfecções sul tejo,0.51
"D.Y.D. - Desentupimento e Desinfestação, Unipessoal Lda","d.y.d. - desentupimento e desinfestação, unipessoal",0.43
"D2B, Lda",d2b,0.04
Da Ma Tex,da ma tex,0.17
Daan bv,daan,0.46
Дац Людмила Владимировна,dac lюdmila vladimirovna,0.29
Dach Medical Group GmbH,dach medical group,0.43
DACH Schutzbekleidung GmbH & Co. KG,dach schutzbekleidung gmbh & co. kg,0.38
Dacorum Grup,dacorum grup,0.26
DACRIS IMPEX S.R.L. S.R.L.,dacris impex s.r.l,0.40
DADKA VRACOV s.r.o.,dadka vracov,0.27
DAFE Technologie GmbH,dafe technologie,0.36
Dahlhausen GmbH,dahlhausen,0.38
Dahlhausen,dahlhausen,1.00
Dahlhausen Gesellschaft m.b.H.,dahlhausen gesellschaft,0.61
Daikin Airconditioning Portugal Distribuição Equipamento Tér...,daikin airconditioning portugal distribuição equipamento tér,0.14
"Daily Day Studios, Lda",daily day studios,0.29
"UAB ""DAILY PRINT""",daily print,0.50
DAISY CORPORATE SERVICES LIMITED,daisy corporate services limited,0.33
"Dalica 3 - Publicidade e Design, Lda",dalica 3 - publicidade e design,0.19
Daltoner,daltoner,0.21
"ООО ""ДАЛЬОПТТОРГ""",dalьopttorg,0.63
"DAMAKO - CZ, spol. s r.o.","damako - cz, spol. s r.o",0.34
"Damas & Penetra, Lda",damas & penetra,0.36
Damedis - Serviço Comercial de Produtos Médicos Lda,damedis - serviço comercial de produtos médicos,0.26
Damel-Confecção de Vestuario Lda,damel-confecção de vestuario,0.43
Damino CZ s.r.o.,damino cz,0.32
Даминов Самат Фанурович,daminov samat fanurovič,0.44
"ООО ""ДАНА - ФАРМ""",dana - farm,0.47
"Dana, proizvodnja in prodaja pijač, d.o.o.","dana, proizvodnja in prodaja pijač",0.27
"ООО ""ДАНАРТ""",danart,0.25
Danbury Enterprises LTD,danbury enterprises ltd,0.34
"ООО ""ДАНДЕЛИОН""",dandelion,0.25
Danel Trading Ltd,danel trading ltd,0.54
Danger S.R.L.,danger,0.35
DANIEL LOMBAS SL,daniel lombas,0.42
Daniel Pimenta Lda,daniel pimenta,0.67
"Daniela Roca & João Rodrigues, Lda",daniela roca & joão rodrigues,0.33
Danifer-Higiene Industrial Lda,danifer-higiene industrial,0.36
Данилов Кирик Валериевич,danilov kirik valerievič,0.40
Данильчук Елена Владимировна,danilьčuk elena vladimirovna,0.42
Danmarks Rejsebureau Forening,danmarks rejsebureau forening,0.35
Danmarks Tekniske Universitet - Center for diagnostik DTU,danmarks tekniske universitet - center for diagnostik dtu,0.47
"ООО ""ДАНТА""",danta,0.16
"ООО ""ДАНТРЕЙД""",dantreйd,0.62
"UAB ""Danushis Chemicals""",danushis chemicals,0.31
"Dapaval - Distribuidora De Produtos Alimentares, Azeites E Refrigerantes, Lda","dapaval - distribuidora de produtos alimentares, azeites e refrigerantes",0.11
"ООО ""ДАР""",dar,0.08
DAREL IMPEX SRL,darel impex,0.43
DARILEXIA IMPEX SERV SRL,darilexia impex serv,0.65
"ООО ""ДАРИМЕД""",darimed,0.44
"ООО ""МАРИМЕД""",darimed,1.00
Dario Lima Unipessoal Lda,dario lima unipessoal,0.43
"Darkcode, Lda",darkcode,0.34
"ООО ""ДАРЛИН""",darlin,0.43
DARTIN spol.s r.o.,darlin,0.43
"Dartin, spol. s.r.o.",darlin,0.76
Darwood IP Ltd,darwood ip ltd,0.38
"ООО ""ДАРЭКС""",darэks,0.30
Das Pflegezimmer Handels- und Service GmbH,das pflegezimmer handels- und service,0.14
Dasi SpA,dasi spa,0.27
Dastex Reinraumzubehör GmbH & Co. KG,dastex reinraumzubehör gmbh & co. kg,0.23
Data Control SRL,data control,0.29
"Data-Gate, Desenvolvimento de Soluções Informáticas, Lda","data-gate, desenvolvimento de soluções informáticas",0.22
"Datamovel - Mobiliário e Interiores, Lda",datamovel - mobiliário e interiores,0.35
"DATRAM PRAHA, spol. s r.o.","datram praha, spol. s r.o",0.30
DATURA s.r.o.,datura,0.32
ДАУКАЕВ АЙДАР ТАГИРОВИЧ,daukaev aйdar tagirovič,0.28
Dauti Komerc,dauti komerc,0.34
"ООО ""ДАВ ПРОЕКТ""",dav proekt,0.36
"David Fernandes, Unipessoal Lda","david fernandes, unipessoal",0.27
David Kuthan,david kuthan,0.41
"Davide Borges, Unipessoal Lda","davide borges, unipessoal",0.43
Давидян Армен Юрьевич,davidяn armen юrьevič,0.30
ДАВЛЕТБАЕВ ХАЛИД,davletbaev halid,0.38
ДАВЛЕТОВ ВЕНЕР ХАЗИАХМЕТОВИЧ,davletov vener haziahmetovič,0.50
ДАВЛЕТШИН ГАЛИМ,davletšin galim,0.42
Давудов Руслан Федорович,davudov ruslan fedorovič,0.36
DAVÍDEK s.r.o.,davídek,0.32
Давыденко Михаил Михайлович,davыdenko mihail mihaйlovič,0.35
Давыдов Антон Алексеевич,davыdov anton alekseevič,0.47
Давыдов Денис Сергеевич,davыdov denis sergeevič,0.64
Давыдова Ольга Александровна,davыdova olьga aleksandrovna,0.43
Dawn Direct Ltd,dawn direct ltd,0.23
"Daylife, S.A",daylife,0.27
"Db Cosmetic Profissional - Unipessoal, Lda",db cosmetic profissional - unipessoal,0.09
"ООО ДЦ ""БИОАЛЬТЕРНАТИВА""",dc bioalьternativa,0.25
"ООО ""ДДК""",ddk,0.10
DDL Diagnostic Laboratory bv,ddl diagnostic laboratory,0.14
De Lage Landen International B.V. - Sucursal Em Portugal,de lage landen international b.v. - sucursal em portugal,0.22
De Voorzorg Hasselt,de voorzorg hasselt,0.24
"Deathclean, Unipessoal Lda","deathclean, unipessoal",0.29
DECASPORT s.r.o.,decasport,0.39
"UAB ""Decavita""",decavita,0.59
Decdecor - Comércio de Artigos de Decoração Lda,decdecor - comércio de artigos de decoração,0.20
Decis LVK,decis lvk,0.23
DECK COMPUTER,deck computer,0.36
"UAB ""DECOFLUX""",decoflux,0.48
Deconmicrobes Lda,deconmicrobes,0.38
DECOR EURO CONSTRUCT,decor euro construct,0.42
Decorative Products GmbH,decorative products,0.56
"Decorlegre - Acabamentos de Construção Civil, Lda",decorlegre - acabamentos de construção civil,0.32
