Original name of the product,Product category,amount,unit price,currency,price including taxes,tax rate (%),country,date,source,tender ref,note,description_EN
Apsauginės veido kaukės (respiratoriai) (FFP2/KN95),FFP2,3200,2.2575,EUR,yes,,Lithuania,2020-04-30,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004497112,,Protective face masks (respirators) (FFP2 / KN95)
Apsauginės veido kaukės (BFE≥97%),Mask (unspecified),5000,0.5566,EUR,yes,,Lithuania,2020-05-15,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004499176,,Protective face masks (BFE≥97%)
Apsauginės veido kaukės (respiratoriai) (FFP2),FFP2,200,4.598,EUR,yes,,Lithuania,2020-05-15,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004499176,,Protective face masks (respirators) (FFP2)
Apsauginis veido skydas (Nenurodyta),Face shield,200,4.114,EUR,yes,,Lithuania,2020-05-15,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004499176,,Protective face shield (Not specified)
Vienkartinės pirštinės (Nitrilinės),Medical gloves,3000,0.1331,EUR,yes,,Lithuania,2020-05-15,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004499176,,Disposable gloves (Nitrile)
Dezinfekcinis skystis (Nenurodyta),Disinfectants,20,4.573799999999999,EUR,yes,,Lithuania,2020-05-15,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004499176,,Disinfectant (Not specified)
Dezinfekcinės servetėlės paviršių dezinfekcijai (Nenurodyta),Disinfecting Wipes,8000,0.11540375,EUR,yes,,Lithuania,2020-05-15,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004499176,,Disinfectant wipes for surface disinfection (Not specified)
Apsauginės veido kaukės (respiratoriai) (FFP2/KN95),FFP2,10000,2.2022,EUR,yes,,Lithuania,2020-05-12,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004498762,,Protective face masks (respirators) (FFP2 / KN95)
Pirštinės be pudros (Vinilinės),Medical gloves,35000,0.030299999999999997,EUR,yes,,Lithuania,2020-01-31,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004408846,,Powder-free gloves (Vinyl)
Pirštinės be pudros (Lateksinės),Medical gloves,200000,0.0365,EUR,yes,,Lithuania,2020-01-31,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004408846,,Powder-free gloves (Latex)
Pirštinės be pudros (Lateksinės),Medical gloves,5000,0.042,EUR,yes,,Lithuania,2020-01-31,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004408846,,Powder-free gloves (Latex)
Pirštinės be pudros (Nitrilinės),Medical gloves,3000,0.038900000000000004,EUR,yes,,Lithuania,2020-01-31,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004408846,,Powder-free gloves (Nitrile)
Pirštinės be pudros (Nitrilinės),Medical gloves,3000,0.046,EUR,yes,,Lithuania,2020-01-31,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004408846,,Powder-free gloves (Nitrile)
Pirštinės be pudros (Vinilinės),Medical gloves,5000,0.046,EUR,yes,,Lithuania,2020-01-31,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004408846,,Powder-free gloves (Vinyl)
Veido kaukė (Trijų sluoksnių),Mask (unspecified),750,0.042,EUR,yes,,Lithuania,2020-02-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004432348,,Face Mask (Three Layers)
Vienkartiniai antbačiai (Nenurodyta),Boots,2000,0.0284,EUR,yes,,Lithuania,2020-02-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004432348,,Disposable booties (Not specified)
Pirštinės (Nenurodyta),Medical gloves,90000,0.045012,EUR,yes,,Lithuania,2020-03-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004453052,,Gloves (Not specified)
Apsauginiai akiniai (Nenurodyta),Goggles,500,8.47,EUR,yes,,Lithuania,2020-03-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004453053,,Safety goggles (Not specified)
Vienkartinės pirštinės  (Lateksinės),Medical gloves,16000,0.05775,EUR,yes,,Lithuania,2020-01-02,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004374188,,Disposable gloves (Latex)
Vienkartinės pirštinės  (Lateksinės),Medical gloves,16000,0.05775,EUR,yes,,Lithuania,2020-01-02,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004374188,,Disposable gloves (Latex)
Vienkartinės pirštinės  (Lateksinės),Medical gloves,10000,0.027346,EUR,yes,,Lithuania,2020-01-21,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004385962,,Disposable gloves (Latex)
Vienkartinės pirštinės  (Lateksinės),Medical gloves,3000,0.02964,EUR,yes,,Lithuania,2020-01-30,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004395338,,Disposable gloves (Latex)
Pirštinės  (Nitrilinės),Medical gloves,6000,0.02783,EUR,yes,,Lithuania,2020-02-03,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004410777,,Gloves (Nitrile)
Vienkartinės pirštinės (Nitrilinės),Medical gloves,66000,0.048763,EUR,yes,,Lithuania,2020-02-11,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004411951,,Disposable gloves (Nitrile)
Vienkartinės pirštinės (Nitrilinės),Medical gloves,1272,0.9196,EUR,yes,,Lithuania,2020-02-11,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004411951,,Disposable gloves (Nitrile)
Pirštinės su pudra (Lateksinės),Medical gloves,400,0.02904,EUR,yes,,Lithuania,2020-02-12,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004412080,,Gloves with powder (Latex)
Pirštinės  (Nitrilinės),Medical gloves,8500,0.02904,EUR,yes,,Lithuania,2020-02-12,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004412080,,Gloves (Nitrile)
Vienkartinės pirštinės  (Lateksinės),Medical gloves,30000,0.027467000000000002,EUR,yes,,Lithuania,2020-02-13,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004415441,,Disposable gloves (Latex)
Vienkartinės pirštinės (Nitrilinės),Medical gloves,30000,0.026983,EUR,yes,,Lithuania,2020-02-13,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004415441,,Disposable gloves (Nitrile)
Apsauginiai akiniai (Nenurodyta),Goggles,1275,7.84,EUR,yes,,Lithuania,2020-03-05,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004434017,,Safety goggles (Not specified)
Chalatai apsauginiai (Nenurodyta),Hospital clothing,10,1.365,EUR,yes,,Lithuania,2020-02-19,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004437255,,Protective bathrobes (Not specified)
Chalatai apsauginiai (Nenurodyta),Hospital clothing,10,1.4175,EUR,yes,,Lithuania,2020-02-19,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004437255,,Protective bathrobes (Not specified)
Chalatai apsauginiai (Nenurodyta),Hospital clothing,10,1.4595,EUR,yes,,Lithuania,2020-02-19,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004437255,,Protective bathrobes (Not specified)
Marškiniai apsauginiai (Nenurodyta),,30,0.8295,EUR,yes,,Lithuania,2020-02-19,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004437255,,Shirts (Not specified)
Kelnės apsauginės (Nenurodyta),,30,0.7875,EUR,yes,,Lithuania,2020-02-19,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004437255,,Protective trousers (Not specified)
Pirštinės be pudros (Nitrilinės),Medical gloves,80000,0.019965,EUR,yes,,Lithuania,2020-02-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004437266,,Powder-free gloves (Nitrile)
Pirštinės be pudros (Vinilinės),Medical gloves,120000,0.027104000000000003,EUR,yes,,Lithuania,2020-02-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004437266,,Powder-free gloves (Vinyl)
Pirštinės be pudros (Lateksinės),Medical gloves,80000,0.027346,EUR,yes,,Lithuania,2020-02-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004437266,,Powder-free gloves (Latex)
Pirštinės be pudros (Nitrilinės),Medical gloves,60000,0.041624,EUR,yes,,Lithuania,2020-03-03,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004438832,,Powder-free gloves (Nitrile)
Pirštinės  (Nitrilinės),Medical gloves,120000,0.0298,EUR,yes,,Lithuania,2020-03-06,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004443204,,Gloves (Nitrile)
Pirštinės  (Lateksinės),Medical gloves,140,0.41,EUR,yes,,Lithuania,2020-03-06,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004443204,,Gloves (Latex)
Vienkartinis kombinezonas (Nenurodyta),Disposable coverall,99,7.332599999999999,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004446053,,Disposable Coverall (Not Specified)
Vienkartinis kombinezonas (Nenurodyta),Disposable coverall,98,7.332599999999999,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004446053,,Disposable Coverall (Not Specified)
Vienkartinis kombinezonas (Nenurodyta),Disposable coverall,99,6.4009,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004446053,,Disposable Coverall (Not Specified)
Vienkartinis kombinezonas (Nenurodyta),Disposable coverall,99,6.4009,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004446053,,Disposable Coverall (Not Specified)
Kombinezonas (Nenurodyta),Disposable Coverall,200,6.4856,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004446053,,Overall (Not specified)
Kombinezonas (Nenurodyta),Disposable Coverall,68,6.4856,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004446053,,Overall (Not specified)
Vienkartinis chalatas (Nenurodyta),Hospital clothing,180,0.8228000000000001,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004446053,,Disposable Bathrobe (Not Specified)
Apsauginės veido kaukės (respiratoriai) (FFP1 3M),FFP1,240,1.0406,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004446053,,Protective face masks (respirators) (FFP1 3M)
Apsauginiai akiniai (3M),Goggles,100,13.11156,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004446053,,Safety goggles (3M)
Apsauginės veido kaukės (respiratoriai) (FFP2 3M),FFP2,240,1.21,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004446053,,Protective face masks (respirators) (FFP2 3M)
Rankų dezinfekavimo priemonė (Nenurodyta),Hand sanitizer,200,4.7,EUR,yes,,Lithuania,2020-03-04,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004448616,,Hand sanitizer (Not specified)
Skystas dezinfekuojantis muilas (Nenurodyta),Disinfectants,200,3.2,EUR,yes,,Lithuania,2020-03-04,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004448616,,Liquid disinfectant soap (Not specified)
Dezinfekavimo priemonė paviršiams (Nenurodyta),Disinfectants,100,4.7,EUR,yes,,Lithuania,2020-03-04,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004448616,,Surface disinfectant (Not specified)
Rankų kremas (Nenurodyta),,100,8.9,EUR,yes,,Lithuania,2020-03-04,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004448616,,Hand Cream (Not Specified)
"Vizitacijos drabužiai (kepurė, veido kaukė, chalatas, antbačiai (Nenurodyta)",Boots,1000,5.93,EUR,yes,,Lithuania,2020-03-23,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004449550,,"Visiting clothing (hat, face mask, bathrobe, booties (Not specified)"
Sterilios apsauginės kaukės (3M),Mask (unspecified),6100,1.6,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004451174,,Sterile protective masks (3M)
Apsauginė veido kaukė (Trijų sluokslmių),Mask (unspecified),5000,0.799,EUR,yes,,Lithuania,2020-03-24,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004451301,,Protective face mask (Three layers)
Apsauginės veido kaukės (respiratoriai) (FFP2),FFP2,100,7.2,EUR,yes,,Lithuania,2020-03-24,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004452396,,Protective face masks (respirators) (FFP2)
Antbačiai (Nenurodyta),Boots,60,3.99,EUR,yes,,Lithuania,2020-03-24,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004453733,,Boots (Not specified)
Apsauginis kostiumas (Nenurodyta),Disposable Coverall,1000,7.26,EUR,yes,,Lithuania,2020-03-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004453750,,Protective suit (Not specified)
Apsauginiai akiniai (Nenurodyta),Goggles,204,1.2947000000000002,EUR,yes,,Lithuania,2020-03-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004453750,,Safety goggles (Not specified)
Antbačiai (Nenurodyta),Boots,8700,0.01815,EUR,yes,,Lithuania,2020-03-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004453750,,Boots (Not specified)
Vienkartinis apsauginis kostiumas (Nenurodyta),Disposable Coverall,60,9.99,EUR,yes,,Lithuania,2020-03-27,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004459643,,Disposable Protective Suit (Not Specified)
Apsauginiai kombinezonai ir antbačiai (Nenurodyta),Boots,1400,4.356,EUR,yes,,Lithuania,2020-04-02,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458676,,Protective overalls and boots (Not specified)
Vienkartinės apsauginės pirštinės (Nenurodyta),Medical gloves,208500,0.0453,EUR,yes,,Lithuania,2020-03-25,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004457217,,Disposable protective gloves (Not specified)
Vienkartinės apsauginės pirštinės (Nenurodyta),Medical gloves,60000,0.059000000000000004,EUR,yes,,Lithuania,2020-03-25,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004460493,,Disposable protective gloves (Not specified)
Pirštinės (Vinilinės),Medical gloves,217100,0.04112105020727775,EUR,yes,,Lithuania,2020-03-31,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458733,,Gloves (Vinyl)
Apsauginiai akiniai (Nenurodyta),Goggles,313,7.99,EUR,yes,,Lithuania,2020-04-01,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004457829,,Safety goggles (Not specified)
Medicininiai izoliaciniai akiniai (Nenurodyta),Goggles,1020.408163265306,5.929,EUR,yes,,Lithuania,2020-03-27,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004457646,,Medical goggles (Not specified)
"Daugkartinio naudojimo,
8 sluoksnių medvilninės
marlės, veido kaukės (8 Sluoksnių)",Mask (unspecified),40000,1.21,EUR,yes,,Lithuania,2020-03-25,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004457538,,"Reusable, 8 layers of cotton gauze, face masks (8 layers)"
Vienkartinis apsauginis kostiumas (Nenurodyta),Disposable Coverall,1000,4.9,EUR,yes,,Lithuania,2020-03-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004456132,,Disposable Protective Suit (Not Specified)
Apsauginės veido kaukės (respiratoriai) (FFP2),FFP2,12000,1.35,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458681,,Protective face masks (respirators) (FFP2)
Apsauginė veido kaukė (Nenurodyta),Mask (unspecified),40000,0.32,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458681,,Protective face mask (Not specified)
Apsauginiai akiniai (Nenurodyta),Goggles,6000,3.28,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458681,,Safety goggles (Not specified)
Vienkartiniai dangteliai (Nenurodyta),Hair caps,40000,0.08,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458681,,Disposable caps (Not specified)
Vienkartinis apsauginis kostiumas (Nenurodyta),Disposable Coverall,20000,2.69,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458681,,Disposable Protective Suit (Not Specified)
Vienkartiniai apsauginiai drabužiai (Nenurodyta),,6000,11.28,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458681,,Disposable protective clothing (Not specified)
Vienkartinės pirštinės (Nenurodyta),Medical gloves,124000,0.04,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458681,,Disposable gloves (Not specified)
Apsauginiai antbačiai (Nenurodyta),Boots,24000,0.08,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458681,,Protective boots (Not specified)
Patalpų dezinfekcinis skystis (Nenurodyta),Disinfectants,870,5.566,EUR,yes,,Lithuania,2020-04-02,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458485,,Indoor disinfectant (Not specified)
Vienkartiniai apsauginiai kombinezonai (Nenurodyta),Disposable Coverall,10000,6.897,EUR,yes,,Lithuania,2020-03-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004452247,,Disposable protective overalls (Not specified)
Vienkartinės apsauginės kaukės (Trijų sluoksnių),Mask (unspecified),50000,0.48400000000000004,EUR,yes,,Lithuania,2020-03-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004452247,,Disposable Protective Masks (Three Layers)
Apsauginės veido kaukės (respiratoriai) (FFP3/N95),FFP3,20000,3.0855,EUR,yes,,Lithuania,2020-03-20,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004452377,,Protective face masks (respirators) (FFP3 / N95)
Vienkartiniai lankytojų chalatai (Nenurodyta),Hospital clothing,1500,1.5,EUR,yes,,Lithuania,2020-03-31,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004461571,,Disposable Bathrobes (Not Specified)
Vienkartinis apsauginis kostiumas (Nenurodyta),Disposable Coverall,200,3.75,EUR,yes,,Lithuania,2020-03-31,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004461571,,Disposable Protective Suit (Not Specified)
Galvos apdangalas (Nenurodyta),,1500,0.35,EUR,yes,,Lithuania,2020-03-31,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004461571,,Headgear (Not specified)
Antbačiai (Nenurodyta),Boots,1500,0.08,EUR,yes,,Lithuania,2020-03-31,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004461571,,Boots (Not specified)
Apsauginiai akiniai (Nenurodyta),Goggles,1200,7.26,EUR,yes,,Lithuania,2020-03-25,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004451408,,Safety goggles (Not specified)
Vienkartiniai lankytojų chalatai (Nenurodyta),Hospital clothing,1000,6.08,EUR,yes,,Lithuania,2020-04-06,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004460825,,Disposable Bathrobes (Not Specified)
Vienkartiniai apsauginiai kombinezonai su gaubtuvu (Nenurodyta),Disposable coverall,300,7.018,EUR,yes,,Lithuania,2020-04-01,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004460729,,Disposable coveralls with cover (Not specified)
Apsauginės veido kaukės (respiratoriai) (FFP2),FFP2,2000,4.356,EUR,yes,,Lithuania,2020-04-01,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004463328,,Protective face masks (respirators) (FFP2)
Apsauginės veido kaukės (respiratoriai) (FFP3),FFP3,1200,9.68,EUR,yes,,Lithuania,2020-04-03,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004463220,,Protective face masks (respirators) (FFP3)
Apsauginiai kostiumai (Nenurodyta),Disposable Coverall,50,151.734,EUR,yes,,Lithuania,2020-04-06,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004463109,,Protective suits (Not specified)
Vienkartiniai kombinezonai (3M),Disposable Coverall,20,11.2046,EUR,yes,,Lithuania,2020-03-02,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004433124,,Disposable overalls (3M)
Vienkartiniai kombinezonai (3M),Disposable Coverall,100,9.9825,EUR,yes,,Lithuania,2020-03-02,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004433124,,Disposable overalls (3M)
Vienkartiniai kombinezonai (Nenurodyta),Disposable Coverall,1200,9.075,EUR,yes,,Lithuania,2020-03-02,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004433124,,Disposable overalls (Not specified)
Vienkartiniai chalatai su pirštinėmis (Nenurodyta),Hospital clothing,4000,4.84,EUR,yes,,Lithuania,2020-03-03,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004433187,,Disposable bathrobes with gloves (Not specified)
Vienkartiniai chalatai  (Nenurodyta),Hospital clothing,14855,1.149,EUR,yes,,Lithuania,2020-03-16,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004444561,,Disposable Bathrobes (Not Specified)
Vienkartiniai kombinezonai (Nenurodyta),Disposable Coverall,1500,8.0344,EUR,yes,,Lithuania,2020-03-13,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004449593,,Disposable overalls (Not specified)
Kostiumas (Nenurodyta),,60,193.6,EUR,yes,,Lithuania,2020-03-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004456770,,Costume (Not Specified)
Pirštinės (Nenurodyta),Medical gloves,120,6.655,EUR,yes,,Lithuania,2020-03-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004456770,,Gloves (Not specified)
Apsauginės veido kaukės (respiratoriai) (Nenurodyta),Mask (unspecified),4000,3.025,EUR,yes,,Lithuania,2020-03-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458116,,Protective face masks (respirators) (Not specified)
Pirštinės (Nenurodyta),Medical gloves,10000,0.24200000000000002,EUR,yes,,Lithuania,2020-03-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458116,,Gloves (Not specified)
Vienkartiniai kombinezonai (Nenurodyta),Disposable Coverall,1000,11.495,EUR,yes,,Lithuania,2020-03-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458116,,Disposable overalls (Not specified)
Apsauginės veido kaukės (respiratoriai) (Nenurodyta),Mask (unspecified),2000,0.6655000000000001,EUR,yes,,Lithuania,2020-03-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458116,,Protective face masks (respirators) (Not specified)
Veido apsauga (Nenurodyta),,300,4.235,EUR,yes,,Lithuania,2020-03-26,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458116,,Face protection (Not specified)
Vienkartiniai kombinezonai (Nenurodyta),Disposable Coverall,500,7.018,EUR,yes,,Lithuania,2020-04-02,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458197,,Disposable overalls (Not specified)
Antbačiai (Nenurodyta),Boots,1000,0.4719,EUR,yes,,Lithuania,2020-04-02,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458197,,Boots (Not specified)
Kombinezonas (Nenurodyta),Disposable Coverall,2000,10.73,EUR,yes,,Lithuania,2020-03-30,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004458735,,Overall (Not specified)
Vienkartiniai chalatai (Nenurodyta),Hospital clothing,5000,1.92465,EUR,yes,,Lithuania,2020-03-18,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004459053,,Disposable Bathrobes (Not Specified)
Cheminis kombinezonas (AlphateC 66-300),Disposable Coverall,50,135.52,EUR,yes,,Lithuania,2020-03-19,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004459455,,Chemical overalls (AlphateC 66-300)
Cheminis kombinezonas (AlphateC 66-300),Disposable Coverall,108,139.15,EUR,yes,,Lithuania,2020-03-31,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004459506,,Chemical overalls (AlphateC 66-300)
Vienkartiniai kombinezonai (Nenurodyta),Disposable Coverall,10000,18,EUR,yes,,Lithuania,2020-03-23,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004459659,,Disposable overalls (Not specified)
Apsauginės veido kaukės (respiratoriai) (FFP2),FFP2,1800000,1.35,EUR,yes,,Lithuania,2020-03-20,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004460606,,Protective face masks (respirators) (FFP2)
Apsauginė veido kaukė (Nenurodyta),Mask (unspecified),5700000,0.32,EUR,yes,,Lithuania,2020-03-20,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004460606,,Protective face mask (Not specified)
Apsauginiai akiniai (Nenurodyta),Goggles,810000,3.28,EUR,yes,,Lithuania,2020-03-20,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004460606,,Safety goggles (Not specified)
Vienkartiniai dangteliai (Nenurodyta),Hair caps,1800000,0.08,EUR,yes,,Lithuania,2020-03-20,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004460606,,Disposable caps (Not specified)
Vienkartiniai chalatai  (Nenurodyta),Hospital clothing,1800000,2.69,EUR,yes,,Lithuania,2020-03-20,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004460606,,Disposable Bathrobes (Not Specified)
Vienkartiniai kombinezonai (Nenurodyta),Disposable Coverall,1050000,11.28,EUR,yes,,Lithuania,2020-03-20,https://vpt.lrv.lt/lt/statistika-ir-analize/sutarciu-duomenys,2004460606,,Disposable overalls (Not specified)
